case_id,target_pool,program_text,operation_count,tide_phase,reef_zone,moon_window,spore_mass,branch_pct,plate_pct,free_pct,count_drift,count_splice,count_settle,count_graze,count_mutate,count_pulse,count_bleach,count_limit,operation_bin_private,mass_bin_private,structure_private
rsp_0b7f6efd317c84,P5,SEED P1 PLATE 30; SEED P2 PLATE 11; SEED P0 FREE 11; PULSE P1 SILT 14 0.20; DRIFT P1 P1 12 0.09; GRAZE P0 0.22 0.04; GRAZE P0 0.05 0.04; BLEACH P2 0.16 0.24; SPLICE P2 P3 P4 6 0.75 0.00; DRIFT P4 P4 16 0.00; DRIFT P1 P3 12 0.04; SPLICE P0 P3 P4 14 0.75 0.05; PULSE P3 FREE 14 0.06; BLEACH P1 0.00 0.13; MUTATE P3 0.03 0.06; SPLICE P2 P1 P4 20 0.25 0.10; PULSE P0 BRANCH 4 0.02; MUTATE P4 0.03 0.06; DRIFT P4 P4 5 0.09; DRIFT P3 P0 12 0.14; MUTATE P0 0.03 0.17; MUTATE P4 0.13 0.06; DRIFT P3 P2 5 0.00; DRIFT P4 P2 8 0.14; GRAZE P2 0.05 0.10; PULSE P5 BRANCH 10 0.20; LIMIT P4 26; MUTATE P2 0.20 0.02; DRIFT P1 P4 8 0.00; LIMIT P1 18; SETTLE P0 0.30; SPLICE P2 P1 P5 10 0.25 0.05; SPLICE P1 P5 P2 20 0.75 0.05; SPLICE P5 P4 P5 6 0.25 0.10; SPLICE P0 P5 P1 14 0.75 0.00; PULSE P5 FREE 10 0.12; SPLICE P1 P0 P5 10 0.40 0.05; PULSE P0 FREE 14 0.06; DRIFT P4 P3 3 0.04,39,flood,fore_reef,quarter,16.803522,5.177968,3.312009,91.510024,9,8,1,3,5,6,2,2,long,mid,pulse
rsp_e2f705a807eb0c,P2,SEED P3 FREE 22; SEED P1 BRANCH 11; SETTLE P3 0.18; SETTLE P1 0.18; SPLICE P3 P5 P4 10 0.40 0.00; DRIFT P4 P0 16 0.04; DRIFT P0 P3 3 0.14; SETTLE P1 0.18; DRIFT P1 P3 5 0.14; DRIFT P5 P1 3 0.09; SPLICE P0 P3 P5 10 0.40 0.00; PULSE P3 SILT 4 0.20; MUTATE P4 0.07 0.17; GRAZE P1 0.22 0.04; SETTLE P5 0.18; SETTLE P1 0.10; GRAZE P1 0.22 0.04; SPLICE P5 P3 P0 20 0.25 0.00; SPLICE P1 P0 P5 20 0.25 0.05; PULSE P2 BRANCH 14 0.06; SETTLE P5 0.30; DRIFT P5 P3 3 0.00; SPLICE P0 P2 P1 20 0.25 0.05; GRAZE P4 0.22 0.00; SPLICE P1 P2 P5 14 0.25 0.10; LIMIT P0 18; DRIFT P3 P1 16 0.14; SPLICE P2 P3 P0 6 0.75 0.05; PULSE P5 PLATE 7 0.20; MUTATE P3 0.03 0.17; DRIFT P1 P0 3 0.14; BLEACH P5 0.09 0.06; BLEACH P5 0.00 0.24; SETTLE P3 0.18; GRAZE P4 0.22 0.00; GRAZE P4 0.00 0.04; DRIFT P1 P5 16 0.14; DRIFT P2 P5 3 0.00; SPLICE P2 P4 P0 6 0.25 0.00,39,flood,fore_reef,new_moon,0.0,60.13706,4.349075,35.513865,9,8,7,5,2,3,2,1,long,empty,pulse
rsp_3775f33232df00,P0,SEED P4 PLATE 22; SEED P5 BRANCH 15; SEED P2 BRANCH 7; SEED P3 BRANCH 30; PULSE P3 FREE 14 0.02; SETTLE P4 0.04; SPLICE P3 P3 P1 10 0.25 0.05; MUTATE P2 0.07 0.06; DRIFT P3 P5 5 0.00; MUTATE P4 0.20 0.06; GRAZE P0 0.22 0.18; DRIFT P1 P5 8 0.09; GRAZE P0 0.05 0.10; BLEACH P3 0.16 0.24; DRIFT P3 P3 3 0.04; SPLICE P3 P3 P2 10 0.40 0.05; SETTLE P5 0.10; PULSE P5 PLATE 10 0.20; DRIFT P5 P5 5 0.00; MUTATE P2 0.20 0.17; PULSE P4 SILT 10 0.12; MUTATE P2 0.13 0.02; PULSE P5 SILT 14 0.12; GRAZE P1 0.12 0.00; DRIFT P3 P2 8 0.14; GRAZE P4 0.12 0.18; GRAZE P3 0.05 0.00,27,flood,fore_reef,quarter,1.32,0.0,0.0,0.0,5,2,2,5,4,4,1,0,medium,low,pulse
rsp_5e834f0f387e4f,P4,SEED P0 BRANCH 7; SEED P1 BRANCH 15; SEED P2 BRANCH 30; DRIFT P0 P0 8 0.09; PULSE P0 FREE 14 0.02; DRIFT P2 P1 3 0.04; SETTLE P1 0.04; MUTATE P3 0.20 0.17; MUTATE P2 0.07 0.02; SPLICE P1 P3 P1 10 0.40 0.05; SPLICE P1 P4 P5 20 0.40 0.10; SPLICE P4 P2 P1 10 0.40 0.10; MUTATE P1 0.20 0.02; MUTATE P0 0.07 0.17; SPLICE P1 P1 P0 14 0.60 0.05; DRIFT P0 P5 5 0.00; LIMIT P2 52; DRIFT P2 P0 8 0.09; GRAZE P4 0.00 0.04; PULSE P2 PLATE 10 0.06; PULSE P5 SILT 10 0.20; SPLICE P2 P5 P0 20 0.25 0.00; BLEACH P3 0.09 0.00; LIMIT P5 52,24,flood,crest,new_moon,0.0,0.0,0.0,0.0,4,5,1,1,4,3,1,2,short,empty,pulse
rsp_fc7cdc51dd49b8,P4,SEED P1 BRANCH 30; SEED P5 FREE 15; GRAZE P4 0.05 0.18; MUTATE P3 0.20 0.06; DRIFT P1 P3 5 0.04; MUTATE P4 0.13 0.02; MUTATE P2 0.13 0.06; BLEACH P1 0.00 0.13; PULSE P2 SILT 7 0.02; DRIFT P5 P4 16 0.04; SPLICE P3 P5 P0 14 0.60 0.00; MUTATE P2 0.07 0.02; MUTATE P4 0.07 0.11; DRIFT P1 P0 16 0.00; SETTLE P1 0.18; MUTATE P5 0.13 0.11; DRIFT P0 P4 16 0.09; SETTLE P1 0.18; DRIFT P4 P3 12 0.00; BLEACH P3 0.09 0.00; GRAZE P3 0.22 0.00; LIMIT P2 36; PULSE P0 PLATE 4 0.02; DRIFT P0 P2 16 0.14; DRIFT P1 P3 5 0.00; SETTLE P3 0.30; GRAZE P4 0.00 0.10; DRIFT P2 P3 5 0.09; MUTATE P5 0.03 0.11; PULSE P1 SILT 10 0.02; DRIFT P1 P4 16 0.00; PULSE P0 BRANCH 4 0.06,32,slack,fore_reef,quarter,34.189372,18.453985,4.121325,77.42469,9,1,3,3,7,4,2,1,medium,high,pulse
rsp_1afc71b6879efc,P4,SEED P2 PLATE 22; SEED P4 BRANCH 11; SEED P5 FREE 15; SEED P1 FREE 7; DRIFT P1 P0 3 0.09; GRAZE P4 0.12 0.00; BLEACH P5 0.16 0.24; DRIFT P5 P0 5 0.04; SPLICE P1 P1 P3 6 0.75 0.05; DRIFT P1 P0 12 0.04; DRIFT P5 P1 8 0.14; DRIFT P1 P3 5 0.04; MUTATE P4 0.07 0.02; DRIFT P4 P0 5 0.09; DRIFT P0 P4 3 0.14; PULSE P5 BRANCH 14 0.02; GRAZE P3 0.12 0.10; SETTLE P2 0.18; PULSE P1 PLATE 14 0.20; MUTATE P4 0.13 0.06; MUTATE P3 0.03 0.06; SPLICE P0 P2 P1 6 0.60 0.00; GRAZE P4 0.00 0.04; PULSE P5 BRANCH 7 0.06; DRIFT P2 P4 5 0.14; MUTATE P1 0.07 0.02; SPLICE P0 P1 P0 14 0.25 0.00; SPLICE P1 P0 P1 6 0.60 0.00,28,flood,fore_reef,full_moon,20.643953,21.047827,26.837584,52.114589,8,4,1,3,4,3,1,0,medium,mid,pulse
rsp_270a1bf963f4de,P4,SEED P0 PLATE 22; SEED P5 BRANCH 30; SEED P2 FREE 30; PULSE P4 PLATE 7 0.20; PULSE P0 BRANCH 7 0.02; DRIFT P4 P5 16 0.14; GRAZE P4 0.12 0.18; DRIFT P2 P0 12 0.04; SPLICE P5 P5 P0 20 0.60 0.00; LIMIT P5 18; DRIFT P5 P1 5 0.09; PULSE P4 SILT 10 0.06; MUTATE P5 0.20 0.02; PULSE P2 BRANCH 14 0.12; SPLICE P5 P4 P2 14 0.60 0.10; MUTATE P4 0.07 0.06; DRIFT P4 P0 5 0.00; MUTATE P0 0.20 0.11; GRAZE P4 0.00 0.18; BLEACH P0 0.04 0.13; PULSE P1 SILT 10 0.06; PULSE P0 PLATE 14 0.06; LIMIT P4 52; DRIFT P0 P5 5 0.04; SETTLE P5 0.04; SPLICE P2 P1 P4 10 0.60 0.00; DRIFT P0 P0 16 0.04; MUTATE P5 0.13 0.02; GRAZE P2 0.22 0.18,29,slack,crest,quarter,15.340201,41.436414,12.499107,46.064478,6,3,1,3,4,6,1,2,medium,mid,pulse
rsp_7adb7932b091d8,P4,SEED P5 BRANCH 22; SEED P2 BRANCH 22; DRIFT P5 P5 5 0.04; GRAZE P0 0.00 0.18; SETTLE P5 0.10; DRIFT P2 P4 3 0.00; GRAZE P1 0.12 0.18; BLEACH P4 0.00 0.13; MUTATE P2 0.20 0.06; DRIFT P4 P4 8 0.14; SPLICE P2 P3 P2 10 0.60 0.10; PULSE P0 FREE 7 0.02; MUTATE P4 0.20 0.17; SPLICE P0 P5 P2 14 0.25 0.00; DRIFT P4 P2 3 0.09; DRIFT P2 P5 5 0.04; DRIFT P2 P0 12 0.09; SETTLE P5 0.10; LIMIT P4 52; SPLICE P3 P2 P5 20 0.40 0.00; GRAZE P1 0.05 0.18; GRAZE P3 0.12 0.04; SPLICE P2 P3 P0 20 0.25 0.10; MUTATE P4 0.07 0.02; DRIFT P5 P2 8 0.00; BLEACH P3 0.00 0.00; GRAZE P1 0.12 0.00; DRIFT P3 P5 12 0.04; SPLICE P5 P5 P1 10 0.75 0.00; SETTLE P5 0.30; SPLICE P2 P0 P1 14 0.60 0.05; PULSE P2 BRANCH 10 0.02; SPLICE P2 P5 P2 20 0.75 0.05; BLEACH P3 0.04 0.00; BLEACH P3 0.04 0.06; SETTLE P5 0.18; GRAZE P3 0.22 0.00; DRIFT P0 P0 16 0.00; MUTATE P3 0.07 0.11,39,ebb,lagoon,full_moon,5.92,0.0,0.0,0.0,9,7,4,6,4,2,4,1,long,low,bleach
rsp_105799f341804d,P1,SEED P5 PLATE 7; SEED P4 PLATE 22; SEED P3 PLATE 22; SEED P0 PLATE 22; SETTLE P5 0.18; SETTLE P0 0.10; SPLICE P3 P1 P5 20 0.25 0.10; SPLICE P5 P3 P0 10 0.25 0.00; GRAZE P3 0.05 0.04; SPLICE P5 P2 P1 20 0.25 0.00; MUTATE P5 0.13 0.02; MUTATE P2 0.07 0.06; BLEACH P0 0.04 0.13; GRAZE P3 0.22 0.04; PULSE P3 PLATE 7 0.06; PULSE P1 BRANCH 7 0.02; GRAZE P0 0.12 0.00; SETTLE P3 0.30; BLEACH P5 0.09 0.06; BLEACH P5 0.00 0.13; GRAZE P1 0.00 0.10; SETTLE P3 0.18; SPLICE P3 P5 P0 14 0.40 0.00; SPLICE P5 P2 P1 20 0.40 0.05; SETTLE P4 0.10; DRIFT P1 P0 16 0.14; SPLICE P4 P1 P3 20 0.25 0.00; DRIFT P1 P4 3 0.00; MUTATE P4 0.20 0.02; DRIFT P4 P3 12 0.00; SPLICE P2 P2 P4 6 0.60 0.00; MUTATE P2 0.03 0.06,32,slack,fore_reef,new_moon,0.0,3.664661,77.683252,18.652087,3,7,5,4,4,2,3,0,medium,empty,bleach
rsp_4e8ae1053dbcc4,P4,SEED P5 FREE 30; SEED P0 BRANCH 15; SEED P4 FREE 11; SEED P2 BRANCH 11; PULSE P4 SILT 10 0.12; SPLICE P5 P5 P2 10 0.25 0.00; PULSE P2 FREE 4 0.20; GRAZE P0 0.22 0.04; GRAZE P4 0.22 0.18; MUTATE P5 0.03 0.11; DRIFT P5 P5 12 0.04; PULSE P1 PLATE 10 0.12; PULSE P5 BRANCH 10 0.06; GRAZE P4 0.05 0.00; SETTLE P0 0.04; SPLICE P1 P3 P2 6 0.25 0.00; PULSE P2 BRANCH 4 0.12; PULSE P0 FREE 14 0.06; GRAZE P3 0.00 0.18; SPLICE P2 P1 P0 20 0.60 0.10; PULSE P4 BRANCH 14 0.06; PULSE P2 PLATE 4 0.20; SETTLE P5 0.04; SPLICE P1 P4 P2 6 0.40 0.10; PULSE P2 PLATE 10 0.20,25,flood,fore_reef,new_moon,16.042747,55.466682,10.526247,34.007071,1,4,2,4,1,9,0,0,short,mid,pulse
rsp_6d267867b2e8e1,P5,SEED P1 FREE 22; SEED P0 BRANCH 7; SEED P3 FREE 11; SEED P2 PLATE 30; PULSE P2 SILT 10 0.12; SPLICE P0 P5 P2 6 0.75 0.10; DRIFT P3 P2 16 0.14; SETTLE P0 0.30; MUTATE P2 0.13 0.11; MUTATE P2 0.20 0.17; PULSE P4 BRANCH 7 0.02; GRAZE P5 0.22 0.10; DRIFT P1 P4 3 0.14; SPLICE P0 P5 P3 10 0.25 0.00; DRIFT P3 P4 5 0.00; SETTLE P4 0.30; LIMIT P4 18; MUTATE P5 0.07 0.06; SETTLE P5 0.18; SPLICE P5 P2 P3 10 0.40 0.00; DRIFT P2 P3 8 0.14; DRIFT P3 P0 8 0.09; GRAZE P4 0.05 0.04; SPLICE P1 P5 P2 6 0.60 0.00,24,slack,crest,quarter,3.554944,7.248041,4.88432,87.867639,5,4,3,2,3,2,0,1,short,low,splice
rsp_a77e3765fcd8c3,P1,SEED P0 BRANCH 22; SEED P1 BRANCH 30; SEED P4 PLATE 30; SETTLE P0 0.10; SETTLE P4 0.10; SETTLE P1 0.04; SPLICE P0 P2 P4 6 0.25 0.10; LIMIT P5 26; DRIFT P2 P4 12 0.04; SPLICE P4 P1 P3 14 0.25 0.10; SPLICE P1 P4 P2 10 0.40 0.10; PULSE P3 BRANCH 14 0.02; SPLICE P4 P0 P2 10 0.60 0.00; PULSE P1 SILT 4 0.06; DRIFT P2 P5 16 0.00; DRIFT P3 P5 12 0.04; MUTATE P2 0.20 0.02; DRIFT P1 P5 8 0.00; MUTATE P0 0.07 0.11; SPLICE P3 P5 P0 6 0.75 0.10; PULSE P2 BRANCH 14 0.12; MUTATE P4 0.20 0.11; MUTATE P2 0.13 0.17; BLEACH P1 0.04 0.00; SETTLE P5 0.10; SPLICE P4 P3 P1 6 0.60 0.05; SETTLE P3 0.30; SPLICE P1 P5 P4 20 0.25 0.05; SETTLE P2 0.18; DRIFT P0 P4 8 0.09; DRIFT P0 P5 8 0.14; DRIFT P4 P3 12 0.04; PULSE P2 FREE 7 0.06; GRAZE P5 0.05 0.10; SPLICE P0 P2 P1 14 0.40 0.10,35,flood,crest,quarter,3.390727,66.342619,19.242655,14.414726,7,8,6,1,4,4,1,1,medium,low,pulse
